PersonID,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR,VEHWRK,POPDENS,MALE,AGE,HIGHINC
841,1,0,1,1,0,0,1.8362,4.5,12,2,0.4444,0.44,14.6,4.2,0.9333,0.22,59.5,56.3,12.5111,4.55,1,2.85,0,19,0
842,1,0,1,1,0,0,1.8362,7.3,20,4,0.5479,0.72,23.3,5.9,0.8082,0.36,34.2,43.1,5.9041,2.25,1,2.08,1,55,1
843,1,0,2,0,1,0,0.6426,22.2,44,8,0.3604,2.18,48.2,10.4,0.4685,1.09,69.5,34.4,1.5495,1.35,0.5,10.76,0,33,0
844,1,0,2,0,1,0,0.6426,3.4,7,2,0.5882,0.33,9.2,3.8,1.1176,0.17,5.1,23.4,6.8824,0.75,1,1.13,0,41,0
845,1,0,3,0,0,1,0.2982,25.9,49,6,0.2317,5.47,54.7,8.1,0.3127,2.74,54.4,21.8,0.8417,4.2,1,0.78,1,42,0
846,1,0,3,0,0,1,0.2982,26,52,6,0.2308,5.48,56.6,8.4,0.3231,2.74,51.4,22.1,0.85,3.7,1,0.78,1,42,0
847,1,0,1,1,0,0,1.8362,22.1,37,5,0.2262,2.17,45.7,6.8,0.3077,1.08,37.9,35.1,1.5882,3.85,1,1.91,1,42,0
848,1,0,1,1,0,0,1.8362,22.1,52,5,0.2262,2.17,56.6,7.3,0.3303,1.08,38.1,34.1,1.543,3.75,1,1.91,1,42,0
849,1,0,1,1,0,0,1.8362,11.7,26,2,0.1709,1.15,29.3,4.2,0.359,0.57,45.1,63.2,5.4017,3,0.5,1.84,0,25,0
850,1,0,1,1,0,0,1.8362,11.7,24,2,0.1709,1.15,27.6,3.8,0.3248,0.57,44.9,66.2,5.6581,3.25,0.5,1.84,0,25,0
851,1,0,1,1,0,0,1.8362,15.1,46,8,0.5298,1.48,50.3,10.4,0.6887,0.74,28.8,39.3,2.6026,3,1,21.82,0,27,0
852,1,0,2,0,1,0,0.6426,14.9,27,5,0.3356,1.46,30.9,7,0.4698,0.73,18.2,20.3,1.3624,3.15,0.3,3.78,0,43,0
853,1,0,2,0,1,0,0.6426,14.9,27,5,0.3356,1.46,30.9,7,0.4698,0.73,18.2,20.3,1.3624,3.15,0.3,3.78,1,45,0
854,1,0,1,1,0,0,1.8362,12,29,2,0.1667,1.18,32.5,4.2,0.35,0.59,94,47,3.9167,3.25,1,1.91,1,30,0
855,1,0,2,0,1,0,0.6426,13.8,30,4,0.2899,1.35,34.1,5.9,0.4275,0.68,41.7,30.7,2.2246,2.85,1.5,3.87,0,25,0
856,1,0,3,0,0,1,0.2982,17.5,35,6,0.3429,4.26,43.2,8,0.4571,2.13,43.2,25.2,1.44,3.1,0.5,8.9,1,30,0
857,1,0,1,1,0,0,1.8362,7.5,16,2,0.2667,0.73,19,3.8,0.5067,0.36,23.3,45.2,6.0267,1.6,2,2.64,1,38,0
